PROLIFIC_PID	scenario	IFPI	Why?	IFNI	Why?	SFPI	Why?	SFNI	Why?	AB	DB	DT	PGM	Q5.7	Q5.8	Q5.9	Q5.10	Q5.11	Q5.12	Q6.7	Q6.8	Q6.9	Q6.10	Q6.11	Q6.12	Q10.14	Q10.15	Q10.16	Q10.17	Q10.18	Q10.19	Q10.20	Q10.21	Q199	Q203	Q200	Q204	Q201	Q205	pref_model	group	Ethnicity	BFPI	BFNI
5adef850eb60400001539109	rent	1	It's a loss of money but not the end of the world.	1	They can likely make things right with little trouble.	1	Someone will likely have to pay for this. The landlord or whoever is to blame would be the society.	0	The individual can likely fix this on their own. Their family may not even find out.	No	Yes	Yes	Advantaged	Very unfair	The model allows more payments by Caucasians despite making the same amount of mistakes on both groups.	Very biased	Caucasians are favored.	Mostly useful	It allows a relatively low amount of fraudulent payments.	Acceptably fair	It doesn't consider race.	Very unbiased	No bias is shown.	Mostly useful	It seems to not allow to many fraudulent payments.	Definitely model Y	It does not consider race.	Definitely model X	It takes race into consideration.	Models X and Y are equally useful	They have similar failure rates.	1	I would want to make the fair choice.	Definitely ${e://Field/pref_model}	Model z allows more caucasian than non caucasian payments.	Definitely model Z	It is biased in favor of caucasians.	-1	I'd like to make the moral choice.	model Y	minority	Non-Caucasian	1.0	0.5
6107a4b7744b9b0ca7328cee	rent	2	When you allow a fraudulent payment it can severely affect that person by loss of income and potentially effecting their credit score.	2	If denying a payment leads to a late payment because of this mistake it can mean a lot. A lot of renters live paycheck to paycheck.	0	Society being the community you live would be affected by fraudulent payments is low because I feel like this would the company that allows fraudulent payments happen would be jeopardized.	1	If this mistake causes a renter to lose their apartment then society as in the community you live in would be affected by their homelessness. 	Yes	Yes	Yes	Disadvantaged	Acceptably fair	It’s fair enough with only a 24% difference.	Acceptably biased	It’s a 24% difference which isn’t a big deal with payments allowed. If it was mistakes allowed and their was a difference then it would matter more.	Mostly useful	The 24% doesn’t seem like it matters in the grand scheme of things.	Very unfair	21% difference in mistakes allowed in the non-Caucasian category	Very biased	It’s unacceptable to allow that many mistakes happen with the non-Caucasian category.	Completely unusable	It’s useless if it has that much of a disparity between non-Caucasian and Caucasian.	Probably model X	It’s not completely fair to the Caucasian category but it’s acceptable enough.	Definitely model Y	45% in mistakes allowed for non-Caucasians vs only 24% mistake with Caucasians.	Probably model X	Model X is probably useful because it shows less of a bias.	0	The percentage difference between the both of them is too much to actually be useful.	Probably ${e://Field/pref_model}	I think the 23% of mistakes made is fair enough, allowing payments seems to matter more.	Both ${e://Field/pref_model} and Z are equally biased	They are both biased against the Caucasian group. With about a 20% difference in allowed and mistakes.	0	I wouldn’t choose either of them because they are equally biased so it’s not a difficult choice.	model Y	majority	Non-Caucasian	1.0	1.5
5c1ac9a924e01a000144e64a	rent	1	It could mess with their reputation.	1	Becuase they won't be able to pay their rent.	0	Because it doesn't matter to the random person.	0	Because it doesn't matter to them. The society can be a person standing on the side of the street who has no concern with this.	Yes	Yes	Yes	Advantaged	Mildly unfair	Because it shows that non-caucasians have a low probability of having their payment accepted.	Mildly unbiased	Low probability of non-caucasian payments being accepted.	Mostly unusable	It's a little biased.	Very fair	Because it is equal probability for caucasians and non-caucasians of the payment being aapproved.	Very unbiased	Because it should both ethnicities.	Very useful	Because it unbiased.	Definitely model Y	It's more equal in treatment.	Definitely model X	It's more biased against non-caucasians.	Definitely model Y	Not biased.	2	It's not biased.	Definitely model Z	It's more equal in probability.	Definitely ${e://Field/pref_model}	Higher percentage of non-caucasians being denied.	1	Less biased in payment denial.	model Y	minority	Non-Caucasian	0.5	0.5
610af4dc507f06195b6d99fd	frauth	2	don’t know a person’s intention 	1	it’s a long process but no risk	2	society involves anyone in this world. don’t know a person’s intention	1	society involves anyone in this world. it is a long process but no risk	No	Yes	Yes	Disadvantaged	Mildly unfair		Neither biased nor unbiased.		Neither useful nor unusable		Acceptably fair		Neither biased nor unbiased		Neither useful nor unusable		Probably model Y		Models X and Y are equally biased		Models X and Y are equally useful		0		Probably model Z		Both ${e://Field/pref_model} and Z are equally biased		0		model Y	minority	Non-Caucasian	2.0	1.0
60fefceabeb266acf92730e3	rent	1	Coud be accidental	1	Between good and bad	0	My sister still for support	2	My sister for situations like these	No	Yes	Yes	Disadvantaged	Neither fair nor unfair	they have different ratings.	Neither biased nor unbiased.	Yes because it talks about race	Neither useful nor unusable	In a way yes to help scales	Neither fair nor unfair	Ratings	Neither biased nor unbiased	Yes the race	Neither useful nor unusable	Good to keep count	Models X and Y are equally fair	Rating	Models X and Y are equally biased	The race	Models X and Y are equally useful	The ratings are clear	1	X only becase its more fair	Definitely ${e://Field/pref_model}	It seems more organized	Definitely model Z	Z seems less organized	1	Y more organized	model Y	minority	Non-Caucasian	0.5	1.5
5d497f8d3c428d0017121681	icu	1	There is always the possibility of mistake,  but when a machine  is making the decision for an individual the chaces are geater. I could be okay compated tothe huy next to me, so the machince give the icu bed to him, when really he was on the mend and soon if be in need of it.	2	There is a great risk and chance there will be more mistakes that correct outcomes.	2	Any time thete are different ethnic goups involved they make up society, thus if the algorithm for the machine is already biased toward one race more than the other the truth is there will always be more mistakes.	0	The different ethnic groups around me make up the society around me , therefore I do believe that the chance of mistakes are greater The people of ethnicity like myself Minorities tend to always get the short end of the stick so to speak speak so now you've got a machine that is going to make decisions for you based off of past data. Will that pass data might show that there were more caucasians at 1 point in time that would have needed an icu bed but that's not the case now.. So I believe that there is a greater chance for mistakes using a machine like this in today's society.	No	Yes	Yes	Disadvantaged	Mildly unfair	Truth be told, i beilieve it's  a 50 50 shot as to what race will need a inc bed. There's no model that can actually predict that 	Very biased	Its showing more Caucasians will need an icu bed, but the better question would ve what is the predominant ethnicity of people in the atea? If it's  well blended then there's a 50 50 chance.	Completely unusable	A achine can't tell who will deteriorate faster 	Very fair	This is more like it as theres no guarantee what race will get sick. Its a 50 50 shot.	Very unbiased	Cuz no matter where you are theres always an equal vhance any race can get sock and need a vent, not just one kore tha the other.	Mostly ununsable	I would never tust an algorithm in a machine to faily choose who will need an ice bed. 	Probably model Y	As i stated before its a 50 50 chance as to which race will het most sick and need an icu bed. 	Definitely model X	It's favoring Caucasians when that may noy accurately describe the area in which the live.	Probably model Y	Personally i wouldve chose neither if that uad been an optio , bt since it wasnt i just chose the optuon that was most fair.	0	Again i would never trust an algorithm to make a proper medical decision for me or my family!	Probably ${e://Field/pref_model}	Wjen looking at the dadta it is most equal.	Probably model Z	Again this model faors Caucasians. 	0	Ill never trust a machine to have my back.	model Y	minority	Non-Caucasian	1.5	1.0
6108bbc0999069998b981ffd	rent	1	If an individual is allowed to rent with a fraudulent payment it doesn't impact the individual as much as it does the owner of the complex	2	If a renter is able to pay but the algorithm denies it then both the rentor and the rentee miss an opportunity. 	1	Society for this question refers to the community that the apartment complex is within. If fraudulent payments are going through it moderately affects the society because apartment complex owners are missing out on their income which could impact the residence of the building by not having money to keep up with upkeep and maintenance	2	For the answer I am considering society being the community that the apartment complex is within. If renters are mistakingly denied their transactions it has a major impact on society because Neither the rentor or the rentee are able to get their moneys worth and could lead to a home insecurity within a society	Yes	No	Yes	Advantaged	Acceptably fair	Because both of the mistakes are the same percentage. I do think that non-cacausians are able to make a payment more often but I do not feel this causes it to be unfair because I don't have enough data to know why more caucasians did not get allowed 	Acceptably biased	Because the model leans towards non-Caucasian	Neither useful nor unusable	I don't see how this model would help in real world application 	Mildly unfair	Because non-Caucasians have more mistakes for payment which means that the technology has denied them based on whatever information it was given by the realtor. 	Acceptably biased	Because it seems to favor caucasians	Mostly ununsable	I dont see the practicality in real world application. 	Probably model X	Because it allows payments from both groups but it makes the same mistakes for both equally. 	Probably model Y	Because it is more mistakes towards non-Caucasian payments. 	Probably model X	It seems the the better option between the two. 	0	I don't see the use in either of them	Probably model Z	Because I feel that model Z is more fair	Probably ${e://Field/pref_model}	It seems to deny Caucasian cards more often but maybe the rich white men are trying to buy up properties	1	It seems more fair	model Y	majority	Caucasian	1.0	2.0
61143b4ddb431c6a3179bd66	frauth	2	People shouldn't be able to access others medical records 	2	Because if they needed access to something quickly and couldn't get it, people's lives could be at stake 	2	Society is everyone who may need help from doctors/nurses. People's medical records could be in jeopardy.	1	Society is everyone who may need help from doctors/nurses. In this situation, it may take longer for staff to be granted access, when that time could be needed.	Yes	Yes	Yes	Advantaged	Acceptably fair	Because the system isn't perfect and it seems to be fair for mistakes only among granted access	Neither biased nor unbiased.	There is a possibility that it could be biased due to the probability of granting access percentages. However, I do not think that the difference is substantial and could possibly be for other reasons.	Mostly useful	When used correctly, it will help physicians and nurses!	Acceptably fair	Because it grants access to most people regardless of ethnicity 	Mildly unbiased	It doesn't prohibit people access based on ethnicity 	Mostly useful	It will help doctors and nurses to do their jobs better	Probably model Y	Because it grants people access regardless of their ethnicity 	Probably model X	Because the percentages of granting access are not even	Probably model Y	Because it provides everyone with access	1	Because it is more inclusive 	Probably ${e://Field/pref_model}	Because the percentages are closer	Both ${e://Field/pref_model} and Z are equally biased	Both have pros and cons and provide different people with access 	-1	It is less biased when granting access 	model Y	minority	Caucasian	2.0	1.5
5d6691bf6c7981001a7fdbd6	icu	2	someone may lose their life as not being predicted who needed the ICU given to the mistaken individual	2	The individual will not receive care they needed in a timely manner	2	From the view of society it would cause distrust	2	Will cause distrust	Yes	No	Yes	Disadvantaged	Very unfair	We shouldn't be predicting anything based on a person's race/skin color even if it is based on cultural genetics of that person's ethnicity	Neither biased nor unbiased.	It doesn't appear to be biased but I don't know if I have enough information to make that decision	Completely unusable	I don't think a computer or program should be making such important predictions about potential life/death scenarios. That should only be left up to human intellect and educated professionals.	Very unfair	I feel that it is unfair to use a model for predicting. That is not how real life sometimes happens.	Very biased	It appears to be biased toward one ethnicity instead of being fairly predicting based on something other that race/skin color.	Completely unusable	In my unprofessional, uneducated opinion it is not useful because I value person to person interaction and decision making. Sometimes, there are faults there as well, but it is more emotionally connected than statistics or models with percentages. 	Models X and Y are equally fair	I don't feel either are fair, because theyre both capable of making the mistake that someone will need the ICU incorrectly, which will potentially take the bed from someone who truly needs it. I don't agree with the models at all. 	Models X and Y are equally biased	They are both biased toward a certain skin color rather than being measured by illness or physiological need.	Models X and Y are equally useful	I don't have an option to choose both are equally useless	0	To re-iterate, I don't feel the models are useful in predicting such a delicate scenario. That should be left up to medical personnel.	Both ${e://Field/pref_model} and Z are equally fair	both are equally UNfair	Both ${e://Field/pref_model} and Z are equally biased	same answers	0	same answers as previous.	model Y	majority	Caucasian	2.0	2.0
614f754098c9877761eafb4b	icu	0	For that individual patient, the impact would be low as they received more care than necessary -- except they might feel long-term guilt over taking an ICU bed that a now dead patient needed to survive.	2	Because presumably an individual mistakenly excluded from the ICU will die.	2	As society includes the patients mistakenly excluded from the limited number of ICU beds that die as a result of an individual mistakenly and unnecessarily being granted an ICU bed, as well as their families, friends, doctors, nurses, etc, the impact on society is high.	2	Same answer applies: As society includes the patients mistakenly excluded from the limited number of ICU beds that die as a result, as well as their families, friends, doctors, nurses, etc, the impact on society is high.	No	Yes	Yes	Advantaged	Very unfair	There seems no statistical reason that 24% more of white patients would qualify as needing ICU care than non-whites. The fact that the error rate *after the unfair selection process* is the same is not relevant to that bias.	Very biased	Same answer: There seems no statistical reason that 24% more of white patients would qualify as needing ICU care than non-whites. The fact that the error rate *after the unfair selection process* is the same is not relevant to that bias.	Very useful	It reveals the unfair bias towards white patients inherent in the system. It is barely useful for admissions decisions however.	Very unfair	"1. It doesn't include valuations of mistakes of non-admissions to support the validity of the model
2. It dramatically grants admission of Caucasian patients who don't need ICU treatment over non-whites, which could be critically unfair in light of non-admissions mistake data"	Very biased	"It dramatically grants admission of Caucasian patients who don't need ICU treatment over non-whites, which could be critically biased in light of non-admissions mistake data.
Whether that represents a bias in the data gathering or the model is difficult to say without non-admissions and other data."	Very useful	It exposes flaws in the system that results in bias against non-white patients.	Probably model Y	At least Model Y admits white and non-white patients at the same rate. But the mistake rates still show a bias in those admissions.	Probably model X	Model X admits white patients at a higher rate than non-whites, which has no apparent basis in a non-biased model.	Models X and Y are equally useful	All data is useful, especially data that shows inherent flaws in the system or model.	1	Question states I have to choose one. Model Y is most fair.	Both ${e://Field/pref_model} and Z are equally fair	As long as the rates of admission and of errors (in either admissions or non-admissions) favor the correct treatment of white patients twice as much as non-white patients, the model is neither fair nor un-biased.	Both ${e://Field/pref_model} and Z are equally biased	As long as the rates of admission and of errors (in either admissions or non-admissions) favor the correct treatment of white patients twice as much as non-white patients, the model is neither fair nor un-biased.	1	I have to choose one. Model Z results in fewer un-treated ICU required patients.	model Y	minority	Caucasian	1.0	2.0
614ee2e25c7d068cb049d9e2	rent	1	People will get anywhere get anything for money basically and mistakely allowing fraudulent payment should be avoided at all cost	1	Because I picked moderate because it doesn't pack renter's payment because of the whole I'm trying to get into a place but it depends on if the stuff is stolen or not which is understandable so	1	Our society has been allowing fraudulent payments because the cards are stolen or people still their information and it's not OK	1	Our society is all turning into payments through the Internet through it's all online and I feel like you can still anybody's credit and denying anybody's transactions from merchants that's bad that's especially if it's fraudulent	Yes	Yes	Yes	Disadvantaged	Neither fair nor unfair	Same reason as model Y reasoning	Neither biased nor unbiased.	Same as model Y reasoning	Neither useful nor unusable	Same thing as model Y reasoning	Neither fair nor unfair	Because it's both Fair and not fair sometimes people's payments don't got though due to certain terms of banking	Neither biased nor unbiased	Cause it depends on also their credit but also their payments 	Neither useful nor unusable	Useful but not useful because it's just an example 	Models X and Y are equally fair	Because they're all based on just an example chart	Models X and Y are equally biased	You're going off of people's charts versus checking the whole credit history their whole payment process the renting's history you can't go based on a chart	Models X and Y are equally useful	They're almost identical just a little bit changed on in model X so II think that they're the same	0	I want to choose either of them honestly I mean I feel like I couldn't put my bias or my choosing between 2 different 2 different by almost identical charts	Both ${e://Field/pref_model} and Z are equally fair	Same thing they're all both equal just a little bit different if an z	Both ${e://Field/pref_model} and Z are equally biased	Their butt butt butt they're this just the chart they're examples they're not really the same	0	Same	model Y	minority	Caucasian	1.0	1.0
61536cbb3240efe4a10f70ec	rent	1	There would probably be a loss of income that might not be recovered.	0	It seems that would be an easily remedied situation. The renter would likely still pay.	0	Again, it seems that it would affect few people.	0	It seems that it would cause problems on a more individual basis.	Yes	Yes	Yes	Advantaged	Mildly unfair	There appears to be a large discrepancy in the payments allowed by caucasions vs those of non caucasions 	Mildly unbiased	It simply shows the error rate of processed payments	Mostly unusable	It’s a good tool to show what payments are turned down as well as to illuminate possible racism	Neither fair nor unfair	That there is no difference based on race seems fair. But only allowing 53% of payments to be processed seems low and unfair.	Acceptably biased	Yes, it seems biased because a race appears to be singled out.	Mostly useful	It shows no racial profiling, but lets the developer know that their payment acceptance rate is low.	Probably model Y	The probability of accepting payments is the same. Mistakes made cannot be controlled, only measured, after everyone has the same payment opportunity.	Probably model X	The acceptance of payments from white people is much higher.	Models X and Y are equally useful	Any data gathered can be useful as long as it’s presented in a no biased way (even if it reveals a biased system)	1	Because it appears to not be racist 	Probably model Z	Even though the acceptance of “white” payments is higher, the technology has appeared to choose fraudulent charges equally (probably not based on race)	Probably ${e://Field/pref_model}	The disparity in results of wrongly accepted payments is so large, it appears that it was biased by trying to not be prejudiced.	1	I think it might be a more accurate picture of the true data	model Y	minority	Caucasian	0.5	0.0
5efe1ba6649c910ffdd56c6a	rent	1	You also dont want fraud	2	It gives people less of an opportunity then they should have	0	Its probably not as bad in the long run	1	Im sure on group is more affected than others.	No	No	Yes	Advantaged	Mildly unfair	It allows far more payments from white people than not	Very biased	It seems to trust white people way more	Mostly unusable	Seems like it has unusable bias	Mildly unfair	It looks like it makes way more mistakes for the Caucasian part of the chart	Acceptably biased	Once again it is making more mistakes for one part of the model	Neither useful nor unusable	Not sure how reliable it can be	Probably model X	Payments should be accepted equally, give people the chance instead of denying them, mistakes can be fixed afterwards.	Probably model X	It is doing more assumption work	Probably model Y	It finds and corrects more mistakes	1	Like i said, give people a fair chance to make a payment	Probably ${e://Field/pref_model}	I still think you should be able to make a payment	Probably model Z	It accepts payments more from one group	-1	Same reason as before	model Y	minority	Caucasian	0.5	1.5
60fd99351090788eaebbda7b	rent	2	Not receiving payment 	2	Not receiving money/worrying about eviction	2	Stress of not getting money	1	Society: economic community. Less money coming in and stress about why it was denied	No	No	Yes	Advantaged	Mildly unfair	The model allowed more payments of one group when they both had the same percentage of bad payments	Very biased	Separating my race 	Neither useful nor unusable	I think it provides good information but should look at different characteristics 	Very fair	Allowed the same anoint of payments	Mildly unbiased	Allowed same amount of payments regardless of race	Neither useful nor unusable	Should have not allowed as many payments through since they came out fraudulent 	Definitely model Y	Amount of accepted payments did not change based on race	Definitely model X	Race was a determining factor	Models X and Y are equally useful	They both have flaws	2	More fair	Probably ${e://Field/pref_model}	Equal number approved	Probably model Z	Different approvals	-1	Less racially biased	model Y	minority	Caucasian	2.0	1.5
5af20a80b300870001fd2ecb	frauth	2	non-staff can get into areas and possibly cause issues and confusion	0	it allows staff to enter and does not allow non-staff	0	most news outlets dont care about someone accidently wandering around in a hospital	1	there could be outrage that non-whites are routinely not recognized, society is twitter verse and news outlets	No	Yes	Yes	Advantaged	Neither fair nor unfair	makes an equal amount of mistakes for both groups	Acceptably biased	the probability is skewed	Neither useful nor unusable	not sure if the amount of mistakes is acceptable	Mildly unfair	it thinks non-whites are less likely to be doctors	Acceptably biased	there seems to be more white doctors for the training photos	Mostly useful	it gives data that can be used to fix the problem	Models X and Y are equally fair	they both tend to favor whites in different ways	Probably model X	X seems to think more doctors are white	Probably model Y	it shows a more clear difference in access vs mistakes	1	It is more likely to correctly allow a non-white access	Both ${e://Field/pref_model} and Z are equally fair	both are skewed	Both ${e://Field/pref_model} and Z are equally biased	both have boas in a different way	0	I'm not sure which one would be easier to use in practice	model Y	minority	Caucasian	1.0	0.5
60fe73f8c8a77cdc4b4d9d4a	frauth	2	It's a potentially dangerous situation. One wouldn't know if the person getting in wants to commit violent acts 	2	Of required hospital staff can't get in, people won't have access to the healthcare they provide 	2	Everyone (men,women,children, all races) could be put into a potentially dangerous situation if something new was granted access 	2	We need access to hospital staff that could save our lives 	Yes	No	Yes	Disadvantaged	Mildly unfair	Preference over Caucasian	Very biased	There is a clear preference 	Mostly unusable	Rate of error is high 	Acceptably fair	There is not preference of race 	Very unbiased	There is no preference	Very useful	Mistake percentage is fairly low 	Definitely model Y	Equal access to Caucasian and non Caucasian	Definitely model X	Clear preference 	Probably model X	Less percentage of error 	1	I'm a non Caucasian 	Definitely ${e://Field/pref_model}	No preference between Caucasian and non Caucasian 	Probably model Z	More of a preference towards Caucasian 	-2	I'm not Caucasian	model Y	minority	Non-Caucasian	2.0	2.0
61097db4d04095b7e7d43c11	icu	0	To mistakenly be given an ICU bed that you don't need is probably not going to hurt you.	2	To mistakenly NOT be given an ICU bed that you do need could result in avoidable death.	2	Society would be other patients who might need beds. If too many people are mistakenly given beds that DON'T need them, then society might be short ICU beds for people who DO need them. Which could have severe consequences for society.	1	Society would be other patients who might need beds. If beds go unfilled, that leaves more space for other members of society.	No	Yes	Yes	Advantaged	Acceptably fair	The beds seem pretty evenly split, considering population demographics.	Acceptably biased	people are biased, people are the ones who create models. If the model is based on past ICU needs, then any bias in past ICU placements would filter into the model.	Very useful	Seems like a good, non-emotional way to allocate beds	Acceptably fair	The ICU beds seem fairly even shared.	Mildly unbiased	Almost all models are biased because people are biased and people are the ones who create models.	Very useful	Seems like a good, non-emotional way to allocate ICU beds	Probably model Y	Seems like a more even allocation of beds	Models X and Y are equally biased	people create models, therefore all models are biased. 	Models X and Y are equally useful	They both seem to fairly allocate beds	1	Seems a bit more equal in allocation of beds	Probably model Z	it's a bigger deal to make a mistake denying a bed, than to make a mistake allocating a bed. Model Z has a better ratio of mistakes among denials	Probably ${e://Field/pref_model}	There are way less mistakes among caucasian denials than non-caucasian denials	2	Seems less biased against non-caucasians	model Y	minority	Caucasian	1.0	1.5
60fed37592fa85f71f75952a	frauth	1	Identity theft is a concern but I wonder how many people would actively attempt to do that? likely small. identity theft is no small crime but maybe im optimistic in thinking it would rarely happen	1	Maybe im not well versed in the depths of criminal activity that goes on from stealing peoples health information but it feels the likelihood of someone stealing someones info through this system is minimal and the consequences small	1	"same answer as the last page- 
fear of identity theft = quite bad 
likelihood = not too high?
"	0	It would create little impact, it doesn't change much more than a few minutes of time in a day 	Yes	Yes	Yes	Advantaged	Mildly unfair	"I'm a bit confused as to whether the probability of granted access = properly granted access for medical personally or granted access to anyone of that demographic, even non medical staff? 
I declared it mildly unfair because it seems to have an even rate of error between both parties so it doesn't feel entirely unfair BUT if the data above is in fact declaring it confuses caucasians faces more and therefor allows access to non-medical caucasian folks regularly then it is quite unfair/bad system. "	Very biased	If I understand correctly and its letting less non-caucasian folks in but erring at the same rate it is quite biased in that it seems to better serve a caucasian demographic. 	Mostly unusable	I suppose in caucasian heavy facilities- which I suppose are disproportionately greater than a diverse facility in USA (sad)- it could be useful but how discouraging to non-caucasian folks who do hold space in these facilities. I say, craft a space that hold room for change and diversity and this seems to halt progress to that idea by predominantly serving the same community that exists. 	Acceptably fair	Even the gap! Advance tools that progress, support, validate non-caucasian folks. I do think its flawed but in my opinion, non-caucasians experience much more strain on their mental health than caucasians in the work place. they deserve the recognition and ease. I absolutely find this more fair than the previous model. 	Acceptably biased	If both models are biased but towards different groups I believe the group with greater strain in every other sphere of life deserves even just one ounce of ease. Anywhere they can get the break. People with privilege should step down so others can step up to meet them. This is one tiny tiny step. 	Neither useful nor unusable	Again, this is hard to define. A facility with an overwhelming caucasian population would find less benefit from the use but I don't find it unusable.	Probably model Y	It becomes a race issue and I believe the marginalized group should be supported. 	Models X and Y are equally biased	I think they're equally biased but I believe in the bias of Y rather than X. 	Probably model Y	Considering there is a slight majority of caucasian doctors, my inclination was to say that x is probably more useful as it serves the majority but when I looked up a quick stat sheet on doctor demographics, seeing that it is a slight majority I think model Y is the better investment/use. People of color are slowly holding spaces they've always deserved to a greater degree so in theory, non-caucasians could hold a majority in the very near future. 	2	same as above. 	Probably model Z	46% is a large amount of error, adding more difficulty to a marginalized group with already existing pressures/expectations etc 	Probably ${e://Field/pref_model}	same as above 	1	same as above 	model Y	minority	Non-Caucasian	1.0	0.5
6160d68ce187e1c1d6b50007	icu	2	if these predicted percentage that will need ICU support is inaccurate you are reserving ICU beds witha chance that they will not need it	2	If you mistaken that someone will not need ICU, give away the bed , then they need it there is an obvious issue	2	"""Society"" being ill patients it is a significant issue due to the fact that they might waste an ICU bed"	2	No ICU bed for someone who needs it from society(ill people) means death	No	No	Yes	Advantaged	Very unfair	The percentage of mistakes for non-Caucasian is nearly all the percentage of the non-Caucasian probability they will need it. If the mistake percentage ends up accurate that's nearly all the non-Caucasian patients that could be affected if this model is chosen. On the flip side if those chosen do not need to be put into the ICU then its a wasted bed.	Neither biased nor unbiased.	A computer shouldn't have a bias	Mostly unusable	I think its too simple of a model with not enough to determine who will need a bed	Very unfair	If all of the Caucasians were put into ICU and then didnt need it then theres a probelm.	Neither biased nor unbiased	I dont think its biased, it depends on where its getting its info	Neither useful nor unusable	I think their specific diseases/illness should be used rather than their ethnicity	Probably model Y	Less mistakes 	Models X and Y are equally biased	They shouldnt use race as a way to firgure out who would be in the ICU	Probably model Y	Seems like less percentage of mistakes	1	Seems like it may be a bit more accurate	Probably model Z	equal amount of percentage of mistakes	Probably ${e://Field/pref_model}	higher mistake of non-caucasian	1	seems more accurate	model Y	minority	Caucasian	2.0	2.0
5d3b9f531850400001d2bac9	rent	2	They will be out money if the payment is fraudulent.	0	Their life is not directly affected by not being able to rent. 	0	They will be the ones making the fraudulent payment, obviously could be in legal trouble after that.	2	The society will not be able to rent and could be homeless if they do not have another option. Society is the person trying to rent.	Yes	Yes	Yes	Disadvantaged	Mildly unfair	It has the same mistake percentage for caucasian versus non caucasian but I do not think race should be a factor in its judgement. 	Very biased	It is using race as a factor to make its decision, I do not think that is right.	Mostly useful	It is helping weed out potential fraud, but its parameters are unfair.	Acceptably fair	Since the chart has the same percentage for caucasian versus non caucasian applicant, I do not think race went into the algorithim. 	Mildly unbiased	The percentage for race was even.	Mostly useful	It is preventing potential fraud.	Definitely model Y	Race is not going into the decision.	Definitely model X	Model X is factoring in race.	Definitely model Y	Their percentage of mistakes is less, and race is not a factor in the decision.	2	I would not want to be a factor, and had 1 percent better rate of mistakes.	Probably ${e://Field/pref_model}	Has an even distribution for applicant of different races.	Probably model Z	Has a higher percentage of accepting non-caucasian applicants.	1	Has a lower mistake rate.	model Y	majority	Caucasian	1.0	1.0
614230bae101d5f2af19d6c7	rent	2	For this, the person who owns could end up losing money. 	2	Depending on the renters situation, if they are denied that their payment goes through, they could possibly look at being kicked out for the mistakes of the system. 	2	As the owners being the society, it could cause trouble in the economic world of renting. they could loose out on money that they should have gotten. 	2	As for the society, I look at those are renting whether is be a home or a apartment. If the payment was mistakenly denied, it could end up looking bad for those who are renting and put them in a tough spot. 	Yes	No	Yes	Advantaged	Mildly unfair	Unlike Model Y, the percentages are closer to eachother when looking at the mistakes. However, there is a 26% difference in white people to non white people. That is a pretty big number. 	Acceptably biased	As stated above. 26% is a pretty big difference. White people are still getting accepted higher than non white. 	Neither useful nor unusable	I feel like it could be useful if it was not showing favor. 	Mildly unfair	The mistakes has gone down rather low among the non-caucasian. Meaning that white people are showing lesser percentage than non white. Seems pretty bias to white people. 	Very biased	As stated above, the percentage barely budged towards white people and dropped 24% towards those who are not white. 	Mostly ununsable	Seems the data put in is only favorable to white people. The data could be completely wrong and therefore unusable. Especially since it is showing favor to white. 	Probably model Y	Model Y is more favorable because the percentage of allowed payments are the same. 	Probably model X	There is a 26% difference in Model X when it comes to accepted payments. Almost like the non white are barely getting a chance to even be accepted. 	Probably model Y	Model Y could be more useful simply because the percentage of acceptance is the same compared to the difference in Model X.	1	As stated previously, the payment of acceptance, to me, looks better. 	Probably model Z	They both are pretty unfair, but because they have the same denied payments, Z is better. 	Probably model Z	Z has a lower percentage of acceptance towards non white. 	0	I believe that they are both unfair and I would not want to choose either. They both are biased towards white. 	model Y	minority	Caucasian	2.0	2.0
